VM,Cores,CPU_UTIL
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0666666666667
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,1.53333333333
ae641780-d164-4cba-afd2-768d8576e999,4,100.633333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.7666666667
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.53333333333
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0344827586207
ae641780-d164-4cba-afd2-768d8576e999,4,98.15
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.733333333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.0
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0333333333333
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,1.6
ae641780-d164-4cba-afd2-768d8576e999,4,99.3916666667
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.0125
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0666666666667
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.8
ae641780-d164-4cba-afd2-768d8576e999,4,100.491666667
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.5375
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,2.06666666667
ae641780-d164-4cba-afd2-768d8576e999,4,99.075
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.0958333333
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.66666666667
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0666666666667
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.8
ae641780-d164-4cba-afd2-768d8576e999,4,99.5916666667
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.325
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0333333333333
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,1.83333333333
ae641780-d164-4cba-afd2-768d8576e999,4,98.9833333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.1791666667
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.36666666667
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0645161290323
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.766666666667
ae641780-d164-4cba-afd2-768d8576e999,4,101.608333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,63.2208333333
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.433333333333
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,1.9
ae641780-d164-4cba-afd2-768d8576e999,4,100.3
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.4083333333
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0666666666667
ae641780-d164-4cba-afd2-768d8576e999,4,99.4
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.8
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.1541666667
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.4
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,2.93333333333
ae641780-d164-4cba-afd2-768d8576e999,4,99.6833333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.6291666667
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.26666666667
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0689655172414
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.8
ae641780-d164-4cba-afd2-768d8576e999,4,99.475
6af6402b-6850-4aff-bde9-ff1498b718ef,8,61.9458333333
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.366666666667
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0333333333333
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,1.9
ae641780-d164-4cba-afd2-768d8576e999,4,100.083333333
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.6875
144c183f-caa5-4104-909e-d51fe23af9b9,1,1.9
ae159033-5b60-4d97-be05-2af291f3f793,1,0.0322580645161
42a982b8-97e6-4d1f-afcc-4c804f4e4a76,1,0.8
ae641780-d164-4cba-afd2-768d8576e999,4,100.35
6af6402b-6850-4aff-bde9-ff1498b718ef,8,62.6416666667
144c183f-caa5-4104-909e-d51fe23af9b9,1,0.4
